,Person,Platform,Movie,RR,EDA
0,1.0,1.0,1.0,1.0148617,5.7217
0,1.0,1.0,1.0,0.97759789,5.7115
0,1.0,1.0,1.0,1.0329072,5.7064
0,1.0,1.0,1.0,1.0390042,5.6911
0,1.0,1.0,1.0,0.94270293,5.6911
0,1.0,1.0,1.0,0.97653137,5.6758
0,1.0,1.0,1.0,0.93111979,5.6758
0,1.0,1.0,1.0,0.88661504,5.7115
0,1.0,1.0,1.0,0.92862216,5.9308
0,1.0,1.0,1.0,1.007394,6.0022
0,1.0,1.0,1.0,1.0655723,5.9614
0,1.0,1.0,1.0,1.1397939,5.9308
0,1.0,1.0,1.0,1.2154447,5.89
0,1.0,1.0,1.0,1.2042664,5.8645
0,1.0,1.0,1.0,1.2334872,5.839
0,1.0,1.0,1.0,1.1354372,5.8237
0,1.0,1.0,1.0,1.079488,5.8288
0,1.0,1.0,1.0,1.0425852,5.8645
0,1.0,1.0,1.0,0.97898498,5.9971
0,1.0,1.0,1.0,1.0055919,5.9869
0,1.0,1.0,1.0,1.0943705,5.9359
0,1.0,1.0,1.0,1.1365537,5.9002
0,1.0,1.0,1.0,1.1894725,5.8798
0,1.0,1.0,1.0,1.2007989,5.8543
0,1.0,1.0,1.0,1.1457828,5.839
0,1.0,1.0,1.0,1.1778682,5.8339
0,1.0,1.0,1.0,1.167352,5.9104
0,1.0,1.0,1.0,1.2128906,5.9002
0,1.0,1.0,1.0,1.2305889,5.8594
0,1.0,1.0,1.0,,5.8339
0,1.0,1.0,1.0,,5.8135
0,2.0,1.0,1.0,1.0857094,3.5038
0,2.0,1.0,1.0,1.1336097,3.4978
0,2.0,1.0,1.0,1.0281675,3.4948
0,2.0,1.0,1.0,1.0499792,3.4948
0,2.0,1.0,1.0,1.0507813,3.4933
0,2.0,1.0,1.0,0.9624332,3.4888
0,2.0,1.0,1.0,1.0273759,3.4858
0,2.0,1.0,1.0,1.055852,3.4858
0,2.0,1.0,1.0,1.0326482,3.4813
0,2.0,1.0,1.0,1.1240346,3.4768
0,2.0,1.0,1.0,1.1025856,3.4768
0,2.0,1.0,1.0,1.1285678,3.4738
0,2.0,1.0,1.0,1.135535,3.4708
0,2.0,1.0,1.0,1.1263754,3.4678
0,2.0,1.0,1.0,1.1394241,3.4678
0,2.0,1.0,1.0,1.0976843,3.4663
0,2.0,1.0,1.0,1.150437,3.4633
0,2.0,1.0,1.0,1.109759,3.4618
0,2.0,1.0,1.0,1.0896643,3.4603
0,2.0,1.0,1.0,1.0717457,3.4588
0,2.0,1.0,1.0,1.0251975,3.4558
0,2.0,1.0,1.0,1.0187713,3.4543
0,2.0,1.0,1.0,1.0417805,3.4528
0,2.0,1.0,1.0,1.0192699,3.4498
0,2.0,1.0,1.0,1.0330729,3.4483
0,2.0,1.0,1.0,1.0419635,3.4453
0,2.0,1.0,1.0,1.0518398,3.4423
0,2.0,1.0,1.0,1.0479044,3.4393
0,2.0,1.0,1.0,1.0130259,3.4393
0,2.0,1.0,1.0,0.99205383,3.4378
0,2.0,1.0,1.0,0.92607544,3.4348
0,2.0,1.0,1.0,0.96137153,3.4318
0,2.0,1.0,1.0,1.0136569,3.4303
0,2.0,1.0,1.0,1.0461963,3.4288
