"FB001","FB002","FB003","FB004","FB005","FB006","FB007","FB008","FB009","FB010","FB011","FB012","FB013","FB014","FB015","FB016","FB017","FB018","FB019","FB020","FB021","FB022","FB023","FB024","FB025","FB026","FB027","FB028","FB029","FB030","FB031","FB032","FB033","FB034","FB035","FB036","FB037","FB038","FB039","FB040","FB041","FB042","FB043","FB044","FB045","FB046","FB047","FB048","FB049","FB050","FB051","FB052","FB053","FB054","FB055","FB056","FB057","FB058","FB059","FB060","FB061","FB062","FB063","FB064","FB065","FB066","FB067","FB068","FB069","FB070","FB071","FB072","FB073","FB074"
1.1287705,1.1025856,0.97356262,0.77246589,0.709375,0.93740473,NA,NA,NA,NA,0.97660882,0.85643193,0.84835069,NA,NA,0.7961087,0.76201923,NA,NA,NA,0.92254084,0.98619689,1.064,0.773,0.96300462,NA,0.83547686,0.9432141,0.8888555,0.77684803,0.87890625,0.92035499,NA,0.74010003,0.865,0.74460938,0.75624195,1.0321862,1.2116239,0.54,0.70357326,0.963,0.806,0.89186481,0.76662149,NA,0.564,0.689,0.71763393,1.104,0.879,0.718,NA,0.81597222,0.768,1.213,0.596,0.842,1.207,NA,0.92296743,0.7416088,NA,0.89006209,0.908,0.61929833,0.78126924,0.7254136,NA,0.541,0.96409375,0.85819075,0.91402926,0.80991527
1.1152475,1.1285678,1.0089565,0.79635028,0.83774038,0.90807739,NA,NA,NA,NA,0.9517322,0.85762514,0.83252668,NA,NA,0.90104167,0.77083333,NA,NA,NA,0.99077924,0.9863125,1.151,0.786,1.0289767,NA,0.90124459,0.91079607,0.86594936,0.72082031,0.88116319,0.91459129,NA,0.70296139,0.875,0.8092731,0.73529532,1.046875,1.2588618,0.543,0.68290572,0.895,0.79,0.89472054,0.79788626,NA,0.504,0.833,0.77527449,1.104,0.876,0.734,NA,0.88984375,0.746,1.211,0.58,0.881,1.155,NA,0.93222084,0.75665657,NA,0.91390763,0.864,0.61901701,0.78941058,0.71125944,NA,0.545,0.88777634,0.84587573,0.89109644,0.78566735
1.1933384,1.135535,0.97520965,0.76015248,0.93359375,0.90129984,NA,NA,NA,NA,0.95717593,0.82405599,0.8645655,NA,NA,1.0598958,0.78786671,NA,NA,NA,0.93017963,1.0289478,1.021,0.769,0.99193879,NA,0.90455163,0.95107503,0.88502192,0.77607471,0.87680686,0.96774507,NA,0.65615699,0.87,0.82937283,0.71942568,0.99813433,1.230691,0.515,0.67914559,0.914,0.808,0.9015625,0.8108817,NA,0.494,0.909,0.83478213,1.157,0.891,0.725,NA,0.89585024,0.709,1.1,0.585,0.894,1.081,NA,0.92869858,0.70928092,NA,0.95043842,0.823,0.6184082,0.78363186,0.73600084,NA,0.539,0.87324219,0.86431578,0.89498669,0.71121652
1.2695193,1.1263754,0.89904416,0.77852151,0.63231489,0.90134171,NA,NA,NA,NA,0.95110887,0.84580793,0.82347973,NA,NA,0.9799438,0.76572027,NA,NA,NA,0.91120924,1.0351563,0.99,0.779,1.0159051,NA,0.84241453,0.97061684,0.89386599,0.80832435,0.86328125,0.93836122,NA,0.66310348,0.863,0.75443097,0.7379888,1.0088046,1.0918039,0.612,0.68359375,0.937,0.83,0.89879261,0.82046131,NA,0.505,0.693,0.80843099,1.064,0.876,0.739,NA,0.89453125,0.684,0.951,0.59,0.933,1.059,NA,0.93623047,0.73587101,NA,0.8847736,0.846,0.58417839,0.76957237,0.7174749,NA,0.535,0.9258658,0.86545334,0.92192508,0.73269786
1.2570846,1.1394241,0.94613233,0.7982279,0.81598082,0.85237419,NA,NA,NA,NA,0.92180935,0.91064893,0.81640625,NA,NA,0.9232865,0.75771234,NA,NA,NA,1.0524171,1.0306751,1.063,0.793,1.0171159,NA,0.7531131,0.97395306,0.87728153,0.78924851,0.8972179,0.86062022,NA,0.73865327,0.88,0.78158967,0.76345265,0.98844651,1.1621749,0.515,0.68049107,0.898,0.836,0.86753941,0.82521845,NA,0.557,0.741,0.7723758,1.118,0.856,0.747,NA,0.94286502,0.606,0.983,0.584,0.942,1.087,NA,0.92744835,0.71439145,NA,0.90150294,0.835,0.57574958,0.88147819,0.76428285,NA,0.535,0.93833248,0.89414239,0.89037777,0.75977574
1.253979,1.0976843,0.89890293,0.77026247,0.86510834,0.87604632,NA,NA,NA,NA,0.92097356,0.88073471,0.81494842,NA,NA,0.88574219,0.7525699,NA,NA,NA,0.90045085,1.0034655,1,0.79,0.99086538,NA,0.6878995,0.99485294,0.8615969,0.74258019,0.91669461,0.89204215,NA,0.71967032,0.88,0.85705953,0.78541667,0.98046875,1.1219065,0.49,0.7005429,0.844,0.827,0.8828125,0.81718013,NA,0.56,0.853,0.80019237,1.18,0.881,0.721,NA,0.95488044,0.708,0.95,0.585,0.868,1.14,NA,0.92719415,0.67639919,NA,0.91354721,0.789,0.57012392,0.90951918,0.78099482,NA,0.529,0.90916733,0.8634341,0.92359375,0.72430321
1.214357,1.150437,0.7902114,0.76428918,0.84368846,0.90708467,NA,NA,NA,NA,0.9125956,0.85269657,0.76085487,NA,NA,0.85769339,0.72491987,NA,NA,NA,1.0388414,1.0012817,0.94,0.829,1.0250806,NA,0.697342,0.97579355,0.8846792,0.80383003,0.90709774,0.96282328,NA,0.65436422,0.859,0.77534155,0.7510727,1.0150492,1.1789226,0.504,0.75018901,0.88,0.811,0.87804204,0.8453618,NA,0.623,0.822,0.80859375,1.158,0.875,0.742,NA,0.88685702,0.707,0.983,0.59,0.789,1.19,NA,0.92675781,0.71909341,NA,0.87176541,0.797,0.62104335,0.84415158,0.74434468,NA,0.536,0.97595109,0.79623999,0.9296875,0.76155514
1.1632381,1.109759,0.86271391,0.79978554,0.75787483,0.87319577,NA,NA,NA,NA,0.93036099,0.89735525,0.7483619,NA,NA,0.85101489,0.70497992,NA,NA,NA,1.0274016,1.0104519,0.951,0.822,0.99871757,NA,0.71319786,0.94412928,0.8914682,0.81106582,0.91441306,0.8766066,NA,0.6497788,0.863,0.8123612,0.74571975,1.0080063,1.2778799,0.559,0.7734375,0.922,0.789,0.86021959,0.85645857,NA,0.674,0.777,0.77991018,1.187,0.839,0.703,NA,0.90741177,0.664,1.028,0.587,0.817,1.215,NA,0.90320811,0.71480197,NA,0.92524477,0.929,0.61686812,0.91076239,0.78690532,NA,0.544,1.0450127,0.80433068,0.89201275,0.76378906
1.1438601,1.0896643,1.0057893,0.80742939,0.93512528,0.88697917,NA,NA,NA,NA,0.97714844,0.86974558,0.79917969,NA,NA,0.83217265,0.78141892,NA,NA,NA,0.87594169,0.99771118,1.051,0.791,1.006531,NA,0.76148081,0.96672454,0.86319596,0.76855469,0.92339135,0.92643229,NA,0.66609749,0.879,0.85366863,0.75461099,0.994741,1.1963611,0.616,0.74695724,0.928,0.764,0.87062787,0.92747177,NA,0.583,0.76,0.76965396,1.23,0.887,0.733,NA,0.91015625,0.715,1.008,0.579,0.935,1.187,NA,0.88588291,0.7028381,NA,0.93203125,0.902,0.6266381,0.8962692,0.8046875,NA,0.536,1.0478119,0.77738224,0.92273207,0.72428209
1.127688,1.0717457,1.1088164,0.77185595,0.84042358,0.90264946,NA,NA,NA,NA,0.95042783,0.88049035,0.82280318,NA,NA,0.89285714,0.86658654,NA,NA,NA,0.8981091,0.97695312,1.172,0.801,1.0569649,NA,0.69648438,0.97840797,0.87937213,0.84943677,0.89655172,1.0599531,NA,0.72383233,0.854,0.77463256,0.73770255,1.0229454,1.086294,0.585,0.7578125,0.909,0.787,0.87099004,0.87582329,NA,0.566,0.745,0.813439,1.177,0.925,0.765,NA,0.91015625,0.773,1.026,0.593,0.84,1.101,NA,0.90313883,0.76981757,NA,0.91498362,0.863,0.65997024,0.84952911,0.76970191,NA,0.539,0.99515742,0.791898,0.89587823,0.75834147
