"FB001","FB002","FB003","FB004","FB005","FB006","FB007","FB008","FB009","FB010","FB011","FB012","FB013","FB014","FB015","FB016","FB017","FB018","FB019","FB020","FB021","FB022","FB023","FB024","FB025","FB026","FB027","FB028","FB029","FB030","FB031","FB032","FB033","FB034","FB035","FB036","FB037","FB038","FB039","FB040","FB041","FB042","FB043","FB044","FB045","FB046","FB047","FB048","FB049","FB050","FB051","FB052","FB053","FB054","FB055","FB056","FB057","FB058","FB059","FB060","FB061","FB062","FB063","FB064","FB065","FB066","FB067","FB068","FB069","FB070","FB071","FB072","FB073","FB074"
NA,NA,1.192,NA,0.892,0.94778215,0.797,NA,0.73055413,NA,0.9547001,0.75763034,0.87238405,NA,0.63848645,0.91245203,0.76832933,1.241,NA,0.96525328,0.92691116,1.0006104,1.171,0.99312008,0.90852865,0.93158482,0.9018355,0.78488144,0.91726763,0.772,0.97614397,0.7588742,NA,NA,0.87190345,0.83866514,0.67883929,0.96549479,1.2771734,NA,0.7672476,1.139881,0.72485485,0.94921875,0.787,0.888,NA,0.8717002,0.6730316,1.1622204,0.78179687,NA,0.87707674,1.099,0.929,1.133,0.57470366,0.965,0.983,NA,NA,0.83543472,0.91827579,0.91170934,0.94,0.6328125,0.84071602,0.744,0.84,0.946,0.94626444,0.79498922,0.80576712,0.76031651
NA,NA,1.218,NA,0.95,0.95727238,0.802,NA,0.74946826,NA,0.92723809,0.81708043,0.83987832,NA,0.97380076,0.88655253,0.7874106,1.199,NA,0.96484375,0.80698529,1.0099322,1.263,0.980557,0.91550078,0.86967644,0.86577984,0.83536585,0.89257813,0.735,0.98685366,0.77795094,NA,NA,0.8671875,0.79798274,0.6615189,1.1198775,1.2252446,NA,0.81810462,1.1049243,0.73643092,0.96863974,0.811,0.845,NA,0.875,0.66992188,1.0150632,0.79733787,NA,0.95460304,1.105,0.878,1.042,0.57709565,1.041,1.131,NA,NA,0.86078753,0.95521365,0.93338816,0.958,0.68106485,0.91512784,0.719,0.829,1.006,1.0062374,0.82222806,0.79298818,0.78155203
NA,NA,1.198,NA,0.897,0.94092988,0.804,NA,0.75729432,NA,0.9493152,0.8974208,0.86298077,NA,1.0285967,0.80459269,0.75930152,1.055,NA,0.93082616,0.86631944,1.0340949,1.218,0.96896094,0.94836957,0.88963948,0.82446961,0.89602273,0.88767322,0.763,0.99796998,0.80791692,NA,NA,0.82801445,0.88972356,0.64846075,1.2056452,1.1994922,NA,0.81983568,1.0307488,0.72971674,0.96508097,0.828,0.833,NA,0.83740234,0.80780837,1.0029259,0.78463605,NA,0.91730386,1.098,0.865,1.07,0.578125,1.056,1.213,NA,NA,0.84503425,0.93711578,1.0055919,0.917,0.69921875,0.90089333,0.751,0.899,1.044,1.0443056,0.83762718,0.86262412,0.80411022
NA,NA,1.153,NA,0.844,0.93359375,0.795,NA,0.73714105,NA,0.953125,0.99264016,0.875,NA,1.1462251,0.81021341,0.80055147,0.999,NA,0.93555505,0.84813387,1.02007,1.033,0.95829124,0.98305217,0.88003657,0.76488487,0.89924569,0.90234375,0.804,0.96520996,0.83434199,NA,NA,0.8046875,0.90949974,0.62928969,1.184106,1.2587617,NA,0.77614183,0.98763021,0.72816723,0.96837198,0.755,0.882,NA,0.76331589,0.8613998,1.2830891,0.89334182,NA,0.88761357,1.001,0.815,1.154,0.56453339,0.943,1.2,NA,NA,0.81102347,0.92641022,1.015263,0.846,0.68483665,0.82528566,0.85,0.996,1.034,1.0343464,0.83296218,0.88286323,0.76163903
NA,NA,1.107,NA,0.925,0.95389317,0.779,NA,0.77750651,NA,0.95113986,0.95885518,0.88593409,NA,1.1814035,0.82045853,0.834375,1.084,NA,0.97458603,0.85296426,1.0353921,1.038,0.94865346,0.95521763,0.78197469,0.87766863,0.9534772,0.90904018,0.846,0.95616675,0.84682436,NA,NA,0.82630461,0.8254009,0.62924805,1.121811,1.2805685,NA,0.8046875,1.0461289,0.76392121,0.96737411,0.78,0.944,NA,0.67708333,0.76953125,1.303662,0.95446047,NA,0.90485126,0.947,0.818,1.183,0.57815157,0.904,1.144,NA,NA,0.73836306,0.93741794,0.94591346,0.766,0.66176471,0.8046875,0.878,0.965,1.01,1.0103964,0.88466476,0.92372255,0.73791312
NA,NA,1.047,NA,0.957,0.94631696,0.772,NA,0.78929228,NA,0.9305013,0.96766137,0.82399339,NA,0.88548437,0.82152609,0.84387486,1.262,NA,0.92314412,0.98577135,1.0504864,1.089,0.94005276,0.90736839,0.80082051,0.96328801,0.99502145,0.63723847,0.853,0.95058992,0.84708286,NA,NA,0.89573179,0.85741216,0.64312595,1.0589215,1.2487614,NA,0.80906781,1.0905298,0.765625,0.97865513,0.835,0.961,NA,0.65822666,0.80432189,1.251664,0.90687181,NA,0.94283854,0.959,0.907,1.126,0.58984375,0.943,1.032,NA,NA,0.75508868,0.96126167,0.93378906,0.741,0.68473214,0.76919586,0.871,0.981,1.002,1.0018991,0.88346641,0.98829733,0.72357537
NA,NA,0.91,NA,0.9,0.92255294,0.784,NA,0.75518799,NA,0.89743546,0.87087324,0.86816406,NA,0.70844517,0.83177329,0.77497079,1.317,NA,0.9088261,0.89045583,1.0434915,1.008,0.93255002,0.9204592,NA,0.87169229,0.97492188,0.87339964,0.791,0.99715471,0.82016782,NA,NA,0.93926197,0.90619949,0.67843935,0.99558361,1.2599689,NA,0.77130682,1.1156194,0.78158881,0.94921875,0.851,0.935,NA,0.75326236,0.8423012,1.1604626,0.88353844,NA,0.94684939,1.016,0.923,1.111,0.58265211,0.991,0.985,NA,NA,0.80900891,0.95677923,0.97640625,0.819,0.69961376,0.74572944,0.836,0.999,0.987,0.98729723,0.857834,0.95422363,0.67771218
NA,NA,0.856,NA,0.849,0.90344291,0.806,NA,0.77664263,NA,0.90323076,0.96678112,0.871875,NA,0.79475762,0.83064398,0.73704117,1.237,NA,0.9204621,0.8975598,1.0603786,0.961,0.92618075,0.91147482,NA,0.8515625,0.95056906,0.98756451,0.78,0.99360105,0.7896259,NA,NA,0.93543388,0.88131141,0.69246557,0.9592256,1.2855863,NA,0.74934211,1.0680179,0.78658537,0.95388053,0.82,0.918,NA,0.83328753,0.86822678,1.0305842,0.89936266,NA,0.93391927,1.078,0.895,1.088,0.57561761,0.982,1.04,NA,NA,0.85247635,0.94995517,0.96511152,0.978,0.71840278,0.7009962,0.74,0.977,0.9,0.90006237,0.88196181,0.92843945,0.63423933
NA,NA,0.902,NA,0.871,0.92690678,0.784,NA,0.80184314,NA,0.92355386,0.94709684,0.83505771,NA,0.85697291,0.80231311,0.72611909,1.149,NA,0.90679391,1.0492232,1.05598,1.001,0.92097606,0.84776426,NA,0.82751577,0.96591915,0.94943882,0.813,0.96450541,0.78311479,NA,NA,0.90442414,0.78267045,0.70371421,0.95632684,1.3023297,NA,0.7992729,1.0252969,0.78515625,0.97210496,0.872,0.938,NA,0.82416373,0.86490304,1.0280172,0.94135701,NA,0.95036765,1.07,0.847,1.168,0.58108108,0.917,1.112,NA,NA,0.84276898,0.94246721,0.89293089,1.022,0.68883118,0.73333909,0.744,0.88,0.888,0.88771761,0.86828882,0.96830498,0.64491469
NA,NA,1.002,NA,0.874,0.95776767,0.808,NA,0.74241247,NA,0.94496783,0.93359375,0.86494742,NA,0.94396973,0.82404973,0.72727273,1.27,NA,0.85295139,1.0248267,1.0668981,1.266,0.91695334,0.86296019,NA,0.79916693,0.96591052,0.76789739,0.849,0.99698298,0.86339558,NA,NA,0.88041027,0.84595788,1.1188061,0.99759247,1.3113387,NA,0.81706646,1.0595703,0.7676272,0.97678038,0.865,0.952,NA,0.75601563,0.80317051,1.3359603,0.96637778,NA,0.93472782,1.074,0.804,1.213,0.59231086,0.974,1.137,NA,NA,0.78689648,0.95224974,0.97008384,0.966,0.64882358,0.89246324,0.774,0.915,0.95,0.95038231,0.88603784,0.88088291,0.69136002
NA,NA,1.112,NA,0.861,0.97265625,0.829,NA,0.73177776,NA,0.94980867,0.90991109,0.88825396,NA,0.71305685,0.82889525,0.68600446,1.284,NA,0.80391362,0.89236111,1.0815465,1.094,0.91414232,0.90800696,NA,0.86119058,0.93032492,0.73470569,0.848,0.99276733,0.97904529,NA,NA,0.84755261,0.91203125,0.69766714,1.0954219,1.2762044,NA,0.74828506,1.1122017,0.7421875,0.96742692,0.81,0.973,NA,0.67539703,0.73563508,1.3388843,0.95038432,NA,0.9178011,1.064,0.843,1.193,0.58123944,1.05,1.094,NA,NA,0.75486779,0.93407403,1.0016655,0.887,0.66132579,0.94053819,0.875,0.973,1.004,1.0039562,0.91492492,0.88701129,0.75480143
NA,NA,1.173,NA,0.817,0.96057668,0.838,NA,0.73009275,NA,0.91916322,0.85677083,0.84303477,NA,0.7814118,0.82853037,0.73382637,1.234,NA,0.80393704,1.0136719,1.0758768,1.275,0.9125618,0.91453648,NA,0.91001612,0.92019614,0.80395508,0.818,0.95209461,1.0238917,NA,NA,0.81520433,0.88820214,0.8713245,1.0727333,1.2526082,NA,0.70182292,1.1149573,0.7421875,0.95320407,0.822,0.942,NA,0.67150735,0.78777384,1.3124203,0.90323378,NA,0.90739208,1.023,0.923,1.135,0.57421875,1.089,1.028,NA,NA,0.77417116,0.92632516,0.97175361,0.833,0.68614523,0.8715332,0.912,0.969,1.046,1.0462179,0.88289561,0.88274397,0.77052774
NA,NA,1.153,NA,0.905,0.91574595,0.817,NA,0.70442001,NA,0.91217672,0.95390625,0.88697917,NA,0.86278376,0.88318035,0.80472542,1.188,NA,0.87054332,1.0255055,1.0635977,1.27,0.91221833,0.92644942,NA,0.91776928,0.92288041,1.0200778,0.835,0.94153485,0.97687322,NA,NA,0.83147321,0.7809375,0.71881474,1.0457835,1.2668373,NA,0.67582615,1.0659165,0.70746051,0.92699072,0.835,0.901,NA,0.7631154,0.88933556,1.2538706,0.88814236,NA,0.95180601,0.967,0.944,1.085,0.56430496,1.071,1.031,NA,NA,0.80239763,0.94140625,0.94634984,0.777,0.69660003,0.8666524,0.914,0.983,1.089,1.089406,0.91464677,0.87145212,0.73372396
NA,NA,1.09,NA,0.957,0.87582965,0.803,NA,0.69671875,NA,0.93743323,0.99919181,0.89001359,NA,0.92130335,0.9296875,0.79681839,1.269,NA,0.9185621,0.90355365,1.0766259,1.263,0.91311578,0.98832908,NA,0.86184487,0.90551862,1.0456517,0.843,0.97639062,0.90626608,NA,NA,0.85793968,0.85370464,0.74391207,1.0338346,1.3246541,NA,0.69858285,1.0169763,0.70201205,0.90816157,0.796,0.875,NA,0.81594443,0.92548457,1.1588716,0.93649359,NA,0.92949695,0.991,0.914,1.116,0.56287977,0.993,1.092,NA,NA,0.81817157,0.96657636,0.96214431,0.776,0.66117143,0.91876662,0.906,0.938,1.116,1.1162852,0.92885395,0.91203393,0.69568348
NA,NA,0.966,NA,0.836,0.85796734,0.772,NA,0.69961376,NA,0.94140625,0.95721726,0.83355227,NA,0.69628906,0.92809546,0.73339343,1.266,NA,0.88678639,1.0245667,1.0920201,1.21,0.91525132,1.002907,NA,0.76222911,0.91255482,0.984375,0.863,0.96945595,0.87432888,NA,NA,0.88523402,0.88171875,0.74057183,0.99893466,1.1897567,NA,0.92703324,1.0181606,0.703125,0.87955163,0.801,0.893,NA,0.7789024,0.90404647,1.0481334,0.98370261,NA,0.96748088,1.044,0.919,1.11,0.58304795,0.904,1.196,NA,NA,0.81290923,0.95358737,0.93220205,0.698,0.64141584,0.91910601,0.815,0.943,1.115,1.1153607,0.90080854,0.89828726,0.68168501
NA,NA,0.967,NA,0.864,0.82790998,0.806,NA,0.69730855,NA,0.91835775,0.94726563,0.84595788,NA,0.81883597,0.95421282,0.70353505,1.286,NA,0.8426011,1.0437808,1.0828433,1.049,0.91870657,0.95361328,NA,0.72975084,0.9348083,0.97767857,0.844,0.92855024,0.86011071,NA,NA,0.88882607,0.84046324,0.70685955,0.94062811,1.2307336,NA,0.9682665,1.0642836,0.70970052,0.84396115,0.841,0.953,NA,0.70035282,0.80982143,1.1650796,0.99530942,NA,0.94900977,1.052,0.919,1.056,0.5996732,0.83,1.219,NA,NA,0.7750894,0.94667401,0.88773473,0.708,0.67559412,0.85663377,0.757,0.913,1.075,1.0750495,0.9317972,0.9326473,0.691606
NA,NA,1.055,NA,0.881,0.82786458,0.813,NA,0.69689256,NA,0.84169695,0.89200179,0.89509416,NA,0.79876509,1.015532,0.75507813,1.246,NA,0.84391662,0.91416352,1.0055457,1.152,0.92338545,0.96797534,NA,0.76479388,0.94599609,0.95110887,0.828,0.96138576,0.86055925,NA,NA,0.85872101,0.79296875,0.703125,0.90151263,1.28432,NA,0.92603845,1.105455,0.73373463,0.77055345,0.827,0.959,NA,0.66078848,0.80462831,1.2432669,0.96238788,NA,0.9001019,1.059,0.879,0.974,0.6015625,0.783,1.177,NA,NA,0.74392129,0.9609375,0.93805325,0.698,0.73523145,0.76953125,0.752,0.906,1.012,1.0118177,0.93194731,0.92334785,0.71208132
NA,NA,1.12,NA,0.873,0.89733834,0.813,NA,0.72244044,NA,0.87763363,0.84440399,0.89537311,NA,0.78784638,1.0227791,0.77798507,1.154,NA,0.87274226,0.9476046,0.98455669,1.35,0.92925268,0.99657238,NA,0.85601636,0.92478459,0.90802258,0.809,0.99916077,0.83489705,NA,NA,0.83275799,0.87509621,0.6953125,0.94212268,1.2460583,NA,0.86682928,1.0818227,0.76882459,0.77010922,0.847,0.963,NA,0.7381086,0.86727834,1.2207996,0.9425139,NA,0.92973695,1.07,0.864,0.925,0.5817776,0.768,1.119,NA,NA,0.79023035,0.96379573,0.98491489,0.701,0.71774787,0.79947256,0.815,0.92,0.995,0.99543389,0.89060823,0.90414663,0.71465164
NA,NA,1.102,NA,0.849,0.86023332,0.792,NA,0.72701961,NA,0.92260638,0.99077035,0.84209666,NA,0.80578433,1.0367218,0.73832071,1.16,NA,0.92078257,0.902776,1.2845982,1.345,0.93627258,0.92501831,NA,0.92377804,0.93821476,0.88671875,0.758,0.98598346,0.87015845,NA,NA,0.83359375,0.8855247,0.70158883,1.1133933,1.0859375,NA,0.80087209,1.0200639,0.77178955,0.80148088,0.887,0.938,NA,0.79864165,0.87557292,1.111755,0.94484027,NA,0.94542503,1.044,0.955,0.924,0.61955115,0.779,1.055,NA,NA,0.82101935,0.9624496,0.97052002,0.691,0.67037609,0.89427538,0.873,0.934,0.982,0.98156311,0.87626689,0.93954613,0.69861779
